Lafangey Parindey,Neil Nitin Mukesh:�Deepika Padukone,Romance,Difficult,Hindi,c482547b-337f-4aba-90b2-f6d1ad5e0671
Yeh Saali Zindagi,Arunoday Singh:�Chitrangada Singh:�Irrfan Khan,Drama,Difficult,Hindi,e07861c2-fa86-44e9-9121-eca68c1e40ef
Udaan,Ronit Roy: Rajat Barmecha,Drama,Difficult,Hindi,512c82e1-bfee-4f8b-a4ab-85777de1c308
Milenge Milenge,Kareena Kapoor:�Shahid Kapoor,Romance,Difficult,Hindi,887d17e5-755b-4920-b49f-65450a4be6f0
Aisha,Abhay Deol:�Sonam Kapoor,Romance,Difficult,Hindi,4ae99360-0450-44af-b3cf-22cdff2d6418
Special 26,Akshay Kumar: Anupam Kher: Manoj Bajpai,Drama: Comedy,Easy,Hindi,4e875317-8f1b-48bf-922e-df88fbb2884d
Rangrezz,Jackky Bhagnani:�Priya Anand:�Rajpal Yadav,Comedy,Difficult,Hindi,79ac87af-9c2b-4761-abf5-791e2e16d00f
Pyar Ka Punchnama,Kartikeya Tiwari: Rayo Bhakhirta: Divyendu Sharma,Romance:Comedy,Easy,Hindi,7e1addec-ec9f-4731-a00e-7c1dab7cf0a5
Agent Vinod,Saif Ali Khan: Kareena Kapoor,Drama: Romance,Difficult,Hindi,d2ef164a-b3c8-4e19-8745-7ca429d7a012
Vicky Donor,Ayushmann Khurrana:�Yami Gautam:�Annu Kapoor,Romance:Comedy,Easy,Hindi,7fb7430f-9149-45fd-9690-8c43ead0870b
Ishaqzaade,Arjun Kapoor: Parineeti Chopra,Romance,Difficult,Hindi,bda3717e-042f-4d4d-88e3-a01f682274c1
Department,Amitabh Bachchan:�Sanjay Dutt:�Rana Daggubati,Drama,Difficult,Hindi,13a25795-bf05-4576-9db5-10c38508383d
Gangs of Wasseypur,Manoj Bajpai: Nawazuddin Siddiqui: Piyush Mishra`,Drama,Easy,Hindi,89d4eea8-ecc8-4cd6-a009-67bbfbadea39
Sadma,Kamal Hassan:Sridevi,Drama,Difficult,Hindi,280731c7-948a-44cc-9378-a23975e81920
